,value
808,"2016-02-13 19:05:24 128.230.247.37 GET /content/images/thumbs/0000007_cell-phones_450.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 47"
809,"2016-02-13 19:05:24 128.230.247.37 GET /content/images/thumbs/0000008_accessories_450.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 59"
810,"2016-02-13 19:05:24 128.230.247.37 GET /content/images/thumbs/0000045_beats-pill-20-wireless-speaker_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 64"
811,"2016-02-13 19:05:24 128.230.247.37 GET /content/images/thumbs/0000006_camera-photo_450.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 70"
812,"2016-02-13 19:05:24 128.230.247.37 GET /content/images/thumbs/0000035_nikon-d5500-dslr_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 82"
813,"2016-02-13 19:05:24 128.230.247.37 GET /content/images/thumbs/0000042_htc-one-mini-blue_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 107"
814,"2016-02-13 19:05:24 128.230.247.37 GET /content/images/thumbs/0000044_nokia-lumia-1020_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 48"
815,"2016-02-13 19:05:24 128.230.247.37 GET /Themes/DefaultClean/Content/images/view-list.png - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 90"
816,"2016-02-13 19:05:24 128.230.247.37 GET /Themes/DefaultClean/Content/images/view-grid.png - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 93"
817,"2016-02-13 19:05:24 128.230.247.37 GET /content/images/thumbs/0000048_portable-sound-speakers_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 94"
818,"2016-02-13 19:05:24 128.230.247.37 GET /Themes/DefaultClean/Content/images/next.png - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 84"
819,"2016-02-13 19:05:26 128.230.247.37 GET /nokia-lumia-1020 - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 217"
820,"2016-02-13 19:05:26 128.230.247.37 GET /Scripts/jquery.magnific-popup.min.js - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/nokia-lumia-1020 200 0 0 37"
821,"2016-02-13 19:05:26 128.230.247.37 GET /Content/magnific-popup/magnific-popup.css - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/nokia-lumia-1020 200 0 0 44"
822,"2016-02-13 19:05:26 128.230.247.37 GET /content/images/thumbs/0000044_nokia-lumia-1020_550.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/nokia-lumia-1020 200 0 0 90"
823,"2016-02-13 19:05:26 128.230.247.37 GET /Themes/DefaultClean/Content/images/email-button.png - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 114"
824,"2016-02-13 19:05:28 128.230.247.37 GET /apparel - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/nokia-lumia-1020 200 0 0 324"
825,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000011_clothing_450.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 42"
826,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000012_apparel-accessories_450.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 41"
827,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000044_nokia-lumia-1020_64.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 48"
828,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000051_adidas-consortium-campus-80s-running-shoes_415.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 50"
829,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000010_shoes_450.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 57"
830,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000049_nike-floral-roshe-customized-running-shoes_415.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 37"
831,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000057_custom-t-shirt_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 100"
832,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000055_nike-tailwind-loose-short-sleeve-running-shirt_415.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 43"
833,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000058_levis-511-jeans_415.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 95"
834,"2016-02-13 19:05:28 128.230.247.37 GET /content/images/thumbs/0000054_nike-sb-zoom-stefan-janoski-medium-mint_415.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 97"
835,"2016-02-13 19:05:30 128.230.247.37 GET /accessories - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 225"
836,"2016-02-13 19:05:30 128.230.247.37 GET /content/images/thumbs/0000060_obey-propaganda-hat_415.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/accessories 200 0 0 34"
837,"2016-02-13 19:05:30 128.230.247.37 GET /content/images/thumbs/0000062_ray-ban-aviator-sunglasses_415.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/accessories 200 0 0 45"
838,"2016-02-13 19:05:30 128.230.247.37 GET /content/images/thumbs/0000061_reversible-horseferry-check-belt_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/accessories 200 0 0 100"
839,"2016-02-13 19:05:33 128.230.247.37 GET /ray-ban-aviator-sunglasses - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/accessories 200 0 0 259"
840,"2016-02-13 19:05:33 128.230.247.37 GET /content/images/thumbs/0000062_ray-ban-aviator-sunglasses_550.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ray-ban-aviator-sunglasses 200 0 0 36"
841,"2016-02-13 19:05:38 128.230.247.37 GET /books - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ray-ban-aviator-sunglasses 200 0 0 301"
842,"2016-02-13 19:05:38 128.230.247.37 GET /content/images/thumbs/0000062_ray-ban-aviator-sunglasses_64.jpg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 32"
843,"2016-02-13 19:05:38 128.230.247.37 GET /content/images/thumbs/0000066_fahrenheit-451-by-ray-bradbury_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 49"
844,"2016-02-13 19:05:38 128.230.247.37 GET /content/images/thumbs/0000067_first-prize-pies_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 55"
845,"2016-02-13 19:05:38 128.230.247.37 GET /content/images/thumbs/0000068_pride-and-prejudice_415.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 56"
846,"2016-02-13 19:05:40 128.230.247.37 GET /fahrenheit-451-by-ray-bradbury - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 189"
847,"2016-02-13 19:05:40 128.230.247.37 GET /content/images/thumbs/0000066_fahrenheit-451-by-ray-bradbury_550.jpeg - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/fahrenheit-451-by-ray-bradbury 200 0 0 82"
848,"2016-02-13 19:05:40 128.230.247.37 GET /Themes/DefaultClean/Content/images/shipping.png - 80 - 68.199.40.156 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 79"
849,"2016-02-12 15:24:09 128.230.247.37 GET / - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 - 200 0 0 18399"
850,"2016-02-12 15:24:09 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/custom.css - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 13"
851,"2016-02-12 15:24:09 128.230.247.37 GET /Content/jquery-ui-themes/smoothness/jquery-ui-1.10.3.custom.min.css - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 15"
852,"2016-02-12 15:24:09 128.230.247.37 GET /Scripts/jquery.validate.min.js - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 14"
853,"2016-02-12 15:24:09 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/nivo-slider.css - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 16"
854,"2016-02-12 15:24:09 128.230.247.37 GET /Scripts/jquery.validate.unobtrusive.min.js - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 8"
855,"2016-02-12 15:24:09 128.230.247.37 GET /Scripts/public.common.js - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 1"
856,"2016-02-12 15:24:09 128.230.247.37 GET /Scripts/jquery-migrate-1.2.1.min.js - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 9"
857,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/css/styles.css - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 30"
858,"2016-02-12 15:24:09 128.230.247.37 GET /Scripts/public.ajaxcart.js - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 1"
859,"2016-02-12 15:24:09 128.230.247.37 GET /Scripts/jquery-1.10.2.min.js - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 36"
860,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/images/logo.png - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 7"
861,"2016-02-12 15:24:09 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Scripts/jquery.nivo.slider.js - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 15"
862,"2016-02-12 15:24:09 128.230.247.37 GET /content/images/thumbs/0000075_banner_1.jpg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 7"
863,"2016-02-12 15:24:09 128.230.247.37 GET /content/images/thumbs/0000076_banner_2.jpg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 1"
864,"2016-02-12 15:24:09 128.230.247.37 GET /Scripts/jquery-ui-1.10.3.custom.min.js - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 72"
865,"2016-02-12 15:24:09 128.230.247.37 GET /content/images/thumbs/0000005_electronics_450.jpeg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 11"
866,"2016-02-12 15:24:09 128.230.247.37 GET /content/images/thumbs/0000009_apparel_450.jpeg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 2"
867,"2016-02-12 15:24:09 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_415.jpeg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 6"
868,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/images/shopping-bag.png - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 5"
869,"2016-02-12 15:24:09 128.230.247.37 GET /content/images/thumbs/0000072_25-virtual-gift-card_415.jpeg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 9"
870,"2016-02-12 15:24:09 128.230.247.37 GET /content/images/thumbs/0000024_apple-macbook-pro-13-inch_415.jpeg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 12"
871,"2016-02-12 15:24:09 128.230.247.37 GET /content/images/thumbs/0000020_build-your-own-computer_415.jpeg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 13"
872,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/images/loading.gif - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 6"
873,"2016-02-12 15:24:09 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/loading.gif - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/custom.css 200 0 0 0"
874,"2016-02-12 15:24:09 128.230.247.37 GET /content/images/thumbs/0000013_digital-downloads_450.jpeg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 18"
875,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/images/rating1.png - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 8"
876,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/images/rating2.png - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 7"
877,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/images/wishlist-button.png - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 7"
878,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/images/compare-button.png - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 8"
879,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/images/social-sprite.png - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 1"
880,"2016-02-12 15:24:09 128.230.247.37 GET /Themes/DefaultClean/Content/images/ajax-loader-small.gif - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 49"
881,"2016-02-12 15:24:09 128.230.247.37 GET /Content/jquery-ui-themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Content/jquery-ui-themes/smoothness/jquery-ui-1.10.3.custom.min.css 200 0 0 21"
882,"2016-02-12 15:24:09 128.230.247.37 GET /favicon.ico - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 53"
883,"2016-02-12 15:24:14 128.230.247.37 GET /books - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 1332"
884,"2016-02-12 15:24:14 128.230.247.37 GET /content/images/thumbs/0000066_fahrenheit-451-by-ray-bradbury_415.jpeg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 10"
885,"2016-02-12 15:24:14 128.230.247.37 GET /content/images/thumbs/0000067_first-prize-pies_415.jpeg - 80 - 70.209.14.54 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 12"
